Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
GSM1402419	0.126853	0.320309	0.17503	0.157314	0.220495
GSM1402420	0.137342	0.338861	0.168993	0.162874	0.191931
GSM1402421	0.138067	0.267574	0.192238	0.168469	0.233652
GSM1402422	0.13267	0.324821	0.166823	0.171381	0.204304
GSM1402423	0.132933	0.314487	0.178275	0.167914	0.206392
GSM1402424	0.125102	0.253122	0.195884	0.170335	0.255557
GSM1402425	0.125417	0.285626	0.1844	0.173111	0.231446
GSM1402426	0.141316	0.323702	0.182586	0.168861	0.183535
GSM1402427	0.135051	0.299086	0.17448	0.162288	0.229095
GSM1402428	0.13256	0.239892	0.230946	0.172486	0.224117
GSM1402429	0.134467	0.324931	0.178456	0.167201	0.194945
GSM1402430	0.130547	0.305237	0.176362	0.166604	0.22125
GSM1402431	0.139445	0.31391	0.178909	0.167465	0.200271
GSM1402432	0.134634	0.309049	0.177098	0.164142	0.215076
GSM1402433	0.130477	0.31535	0.176604	0.161445	0.216125
GSM1402434	0.138015	0.271417	0.19022	0.173816	0.226532
GSM1402435	0.126957	0.201077	0.223197	0.187239	0.261529
