Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
SRR26112889	0.072669	0.36896	0.04308	0.040268	0.475023
SRR26112890	0.093277	0.493668	0.055088	0.044634	0.313332
SRR26112891	0.096126	0.330752	0.057135	0.044274	0.471712
SRR26112892	0.116643	0.238556	0.108611	0.05833	0.47786
SRR26112893	0.103467	0.30276	0.09027	0.064002	0.439501
SRR26112894	0.122532	0.288396	0.086135	0.061611	0.441326
SRR26112895	0.12672	0.259371	0.093338	0.070429	0.450142
SRR26112896	0.101794	0.506489	0.062186	0.04695	0.282581
SRR26112897	0.126413	0.196946	0.151616	0.092988	0.432038
SRR26112898	0.126191	0.321889	0.089464	0.062851	0.399606
SRR26112899	0.129657	0.331999	0.062817	0.052634	0.422893
SRR26112900	0.102644	0.27478	0.056415	0.071953	0.494208
SRR26112901	0.075457	0.455973	0.059804	0.061273	0.347493
SRR26112902	0.10515	0.26919	0.071273	0.066203	0.488185
SRR26112903	0.1032	0.327936	0.044778	0.053164	0.470922
SRR26112904	0.084214	0.499854	0.047765	0.042537	0.325629
SRR26112905	0.163279	0.263973	0.086485	0.062629	0.423634
SRR26112906	0.091352	0.467543	0.041586	0.046461	0.353058
SRR26112907	0.07838	0.26583	0.040919	0.05833	0.556542
SRR26112908	0.134054	0.274728	0.095093	0.068952	0.427172
SRR26112909	0.128779	0.285055	0.034741	0.037383	0.514042
SRR26112910	0.166529	0.298584	0.034229	0.059478	0.44118
SRR26112911	0.164812	0.327684	0.059305	0.067687	0.380512
SRR26112912	0.093081	0.305683	0.051921	0.047597	0.501718
SRR26112913	0.075696	0.314072	0.052966	0.057402	0.499864
SRR26112914	0.113231	0.262498	0.076711	0.065235	0.482326
SRR26112915	0.098517	0.23235	0.071697	0.090674	0.506761
SRR26112916	0.117288	0.268716	0.061967	0.064897	0.487133
SRR26112917	0.112037	0.351393	0.075441	0.05716	0.403969
SRR26112918	0.080657	0.415382	0.032241	0.0469	0.424819
SRR26112919	0.09729	0.275987	0.056319	0.069984	0.50042
SRR26112920	0.088157	0.310793	0.07189	0.055511	0.473649
SRR26112921	0.115714	0.331597	0.054274	0.04598	0.452435
SRR26112922	0.116295	0.348527	0.065644	0.045375	0.424159
SRR26112923	0.059433	0.334447	0.055597	0.051903	0.49862
SRR26112924	0.10092	0.242851	0.106447	0.124066	0.425716
SRR26112925	0.149422	0.465203	0.093599	0.113434	0.178343
SRR26112926	0.14607	0.254203	0.059202	0.063903	0.476623
SRR26112927	0.078346	0.283536	0.098244	0.076791	0.463083
SRR26112928	0.079442	0.394203	0.045146	0.043611	0.437598
