Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
SRR19925016	0.133418	0.212112	0.123794	0.134788	0.395887
SRR19925018	0.128124	0.314177	0.148017	0.112374	0.297307
SRR19925020	0.09172	0.404074	0.070101	0.197513	0.236591
SRR19925022	0.133649	0.273	0.065728	0.081103	0.44652
SRR19925024	0.115366	0.173887	0.219532	0.119834	0.371382
SRR19925027	0.128695	0.403229	0.075084	0.071026	0.321966
SRR19925038	0.131485	0.20621	0.137502	0.067897	0.456906
SRR19925039	0.178998	0.141451	0.234445	0.099473	0.345633
SRR19925040	0.172072	0.282407	0.084122	0.072744	0.388654
SRR19925042	0.14187	0.132597	0.176182	0.064685	0.484665
SRR19925043	0.139716	0.274815	0.116863	0.079587	0.389019
SRR19925045	0.170002	0.143285	0.201609	0.114001	0.371103
SRR19925046	0.141367	0.24374	0.103718	0.091318	0.419857
SRR19925047	0.136733	0.258069	0.120867	0.1049	0.379431
SRR19925052	0.128326	0.158876	0.253911	0.133126	0.325762
SRR19925054	0.122117	0.175977	0.187865	0.117258	0.396783
SRR19925055	0.126357	0.15657	0.20625	0.109028	0.401794
SRR19925057	0.102881	0.486501	0.073285	0.085209	0.252123
SRR19925058	0.12774	0.131795	0.254014	0.124932	0.361519
SRR19925060	0.131841	0.446427	0.070884	0.069406	0.281441
SRR19925061	0.140419	0.214161	0.160836	0.105579	0.379006
SRR19925062	0.157084	0.196422	0.132722	0.096795	0.416977
SRR19925065	0.140204	0.293197	0.126873	0.076127	0.363599
SRR19925066	0.133481	0.269102	0.135537	0.078363	0.383518
SRR19925068	0.168112	0.436191	0.069235	0.060696	0.265766
SRR19925070	0.169358	0.145498	0.160769	0.090937	0.433438
SRR19925071	0.118033	0.207156	0.141881	0.089985	0.442945
SRR19925072	0.14279	0.063515	0.175591	0.196037	0.422067
SRR19925073	0.108986	0.264273	0.188805	0.095337	0.342599
SRR19925076	0.127193	0.309605	0.068355	0.065318	0.429529
SRR19925077	0.086305	0.439463	0.061174	0.061472	0.351585
SRR19925078	0.134035	0.223963	0.102238	0.085412	0.454353
SRR19925079	0.129987	0.323249	0.099456	0.08298	0.364328
SRR19925081	0.101758	0.467478	0.05543	0.103632	0.271702
SRR19925082	0.128051	0.364358	0.106361	0.089511	0.31172
SRR19925083	0.115729	0.314991	0.03836	0.048538	0.482382
SRR19925085	0.123219	0.413447	0.059008	0.059829	0.344497
SRR19925086	0.115292	0.464336	0.064913	0.055682	0.299778
